sku_id,category,name,mrp,discountpercent,availablequantity,discountedsellingprice,weightingms,outofstock,quantity
88,Fruits & Vegetables,Carrot,0.13,15,0,0.11,250,t,200
89,Fruits & Vegetables,Beetroot,0.11,18,0,0.09,250,t,250
90,Fruits & Vegetables,Moong Sprouts,0.35,17,0,0.29,200,t,200
91,Fruits & Vegetables,Safal Frozen Mixed Vegetables,0.6,5,0,0.57,500,t,500
92,Fruits & Vegetables,Safal Frozen Corn,0.41,4,0,0.39,200,t,200
93,Fruits & Vegetables,Safal Frozen - Sweet Corn,1.6,5,0,1.52,1000,t,1
94,Cooking Essentials,Maggi 2 Minute Masala Noodles,0.12,0,6,0.12,70,f,70
95,Cooking Essentials,iD Idli & Dosa Batter ,0.8,15,6,0.68,1000,f,1
96,Cooking Essentials,Tata Salt,0.24,0,6,0.24,1000,f,1
97,Cooking Essentials,Arden Eggs White,0.97,0,4,0.97,696,f,12
98,Cooking Essentials,Arden Eggs White,0.65,15,4,0.55,348,f,6
99,Cooking Essentials,Fortune Sunlite Refined Sunflower (Pouch),2.3,4,6,2.19,1000,f,1
100,Cooking Essentials,Aashirvaad Superior MP Atta,2.5,2,6,2.45,5000,f,5
101,Cooking Essentials,Amul Pure Ghee (Pouch),2.55,2,6,2.49,500,f,500
102,Cooking Essentials,Arden Eggs Brown,0.85,7,4,0.79,348,f,6
103,Cooking Essentials,Tata Salt Lite,0.4,10,6,0.36,1000,f,1
104,Cooking Essentials,Saffola Gold Oil (Pouch),2.15,0,6,2.15,1000,f,1
105,Cooking Essentials,Fortune Sunlite Refined Sunflower (Jar),9.25,0,6,9.25,5000,f,5
106,Cooking Essentials,Fortune Rice Bran (Pouch),2.25,11,6,1.99,1000,f,1
107,Cooking Essentials,Saffola Active Oil,2.1,0,6,2.1,1000,f,1
108,Cooking Essentials,Amul Pure Ghee (Pouch),5.05,1,2,4.99,1000,f,1
109,Cooking Essentials,Aashirvaad Atta,4.6,13,6,3.99,10000,f,10
110,Cooking Essentials,Popular Essentials Toor Dal (Un-Polished),1.6,6,4,1.49,1000,f,1
111,Cooking Essentials,Amul Ghee (Tin),5.2,2,6,5.09,1000,f,1
112,Cooking Essentials,Amul Fresh Cream,1.97,3,3,1.91,1000,f,1
113,Cooking Essentials,Popular Essentials Pure Jaggery,0.5,2,6,0.49,450,f,450
114,Cooking Essentials,Aashirvaad Multigrain Atta,0.64,3,2,0.62,1000,f,1
115,Cooking Essentials,Fortune Soyabean Oil,10.05,0,6,9.99,5000,f,5
116,Cooking Essentials,Popular Essentials Sunflower Seeds,0.25,0,6,0.25,50,f,50
117,Cooking Essentials,Tata Sampann kabuli chana,1.85,1,4,1.83,1000,f,500
118,Cooking Essentials,Dhara Groundnut Oil (Pouch),2.3,11,6,2.03,1000,f,1
119,Cooking Essentials,Dhara Health Refined Sun Flower Oil Jar,12,18,6,9.84,5000,f,5
120,Cooking Essentials,24 Mantra Organic Jaggery Powder,0.8,15,6,0.68,500,f,500
121,Cooking Essentials,Tata Sampann High Protien Kabuli Chana,0.94,0,1,0.94,500,f,500
122,Cooking Essentials,Dhara Kachi Ghani Mustard Oil Jar,12.5,8,6,11.43,5000,f,5
123,Cooking Essentials,D'lecta Dairy Cream,0.54,5,6,0.51,200,f,200
124,Cooking Essentials,Ching's Secret Instant Hot Garlic Noodles,0.15,0,3,0.15,60,f,60
125,Cooking Essentials,Dabur Ginger Garlic Paste,0.25,8,3,0.23,100,f,100
126,Cooking Essentials,Ching's Secret Instant Schezwan Noodles,0.15,0,6,0.15,60,f,60
127,Cooking Essentials,Gowardhan Ghee/Tuppa Jar,3.15,1,6,3.09,500,f,500
128,Cooking Essentials,Tata Sampann Unpolished Moong Dal ,0.92,4,4,0.88,500,f,500
129,Cooking Essentials,Aashirvaad Select Atta,0.64,0,6,0.64,1000,f,1
130,Cooking Essentials,Popular Essentials Misri Dana (Diamond Sugar) ,0.15,0,4,0.15,100,f,100
131,Cooking Essentials,Gowardhan Ghee Jar,5.98,3,6,5.79,1000,f,1
132,Cooking Essentials,Top Ramen  Noodles Curry Veg Pouch,0.2,0,1,0.2,70,f,70
133,Cooking Essentials,Popular Essentials Refined Sugar,0.6,0,6,0.6,1000,f,1
134,Cooking Essentials,Fortune Kachi Ghani Mustard Oil Bottle,2.16,7,6,1.99,1000,f,1
135,Cooking Essentials,Saffola Veggie Twist Masala Oats,0.15,0,6,0.15,38,f,38
136,Cooking Essentials,Satyam Puffed Rice Kurmura (R),0.23,0,6,0.23,200,f,200
137,Cooking Essentials,Quaker Oats,0.79,0,2,0.79,400,f,400
138,Cooking Essentials,Aashirvaad Select Sharbati Atta,3.15,10,6,2.83,5000,f,5
139,Cooking Essentials,Popular Essentials Refined Sugar,2.95,10,6,2.65,5000,f,5
140,Cooking Essentials,Gowardhan Cow Ghee Pouch,5.79,10,6,5.21,1000,f,1
141,Cooking Essentials,Dhara Nourish Refined Sunflower Oil Pouch,2.1,5,6,1.99,1000,f,1
142,Cooking Essentials,Parachute Oil ,0.4,7,3,0.37,100,f,100
143,Cooking Essentials,Popular Essentials Plain Puffed Rice (Murmura/Muri),0.18,0,6,0.18,100,f,100
144,Cooking Essentials,Amul Mithai Mate Condensed Sweetened Milk,0.56,3,4,0.54,200,f,200
145,Cooking Essentials,Saffola Gold (Jar),12.4,0,6,12.4,5000,f,5
146,Cooking Essentials,McCain New Mini Samosa with Cheese Pizza Style Filling,1.2,1,3,1.18,240,f,240
147,Cooking Essentials,Fortune Rice Bran Health Oil (Jar),10.5,1,6,10.39,5000,f,5
148,Cooking Essentials,Arden Desi Eggs,1.1,13,4,0.95,348,f,6
149,Cooking Essentials,Fortune Rozana Basmati Rice,5.85,21,6,4.62,5000,f,5
150,Cooking Essentials,Fortune Biriyani Special Basmati Rice,1.75,0,5,1.75,1000,f,1
151,Cooking Essentials,Everest Garam Masala,0.78,7,5,0.72,100,f,100
152,Cooking Essentials,Popular Essentials Pumpkin Seeds,0.9,16,6,0.75,100,f,100
153,Cooking Essentials,Fortune Soya Health Refined Soybean Oil,2.1,1,2,2.06,1000,f,1
154,Cooking Essentials,Gowardhan Pure Ghee Pouch,2.95,4,6,2.81,500,f,500
155,Cooking Essentials,Popular Essentials Jeera/Cumin Seeds,0.4,5,3,0.38,100,f,100
156,Cooking Essentials,Weikfield Baking Soda,0.3,3,6,0.29,100,f,100
157,Cooking Essentials,Everest Pav Bhaji Masala,0.37,10,4,0.33,50,f,50
158,Cooking Essentials,Tata Sampann Unpolished Chana Dal,0.95,6,2,0.89,1000,f,500
159,Cooking Essentials,Amul Mithai Mate EOE Tin,1.12,2,6,1.09,400,f,400
160,Cooking Essentials,Pillsbury Chakki Fresh Atta,4.5,16,6,3.75,10000,f,10
161,Cooking Essentials,Everest Chicken Masala,0.39,2,1,0.38,50,f,50
162,Cooking Essentials,Dhara Life Refined Ricebran Oil (Pouch),2.05,7,6,1.9,1000,f,1
163,Cooking Essentials,Borges Extra Virgin Olive Oil,4,25,1,2.99,250,f,250
164,Cooking Essentials,Everest Shahi Biryani Masala,0.7,14,6,0.6,50,f,50
165,Cooking Essentials,Popular Essentials Californian Almond,3.5,28,6,2.51,250,f,250
166,Cooking Essentials,Popular Essentials Ajwain Whole,0.25,0,4,0.25,50,f,50
167,Cooking Essentials,Everest Tikhalal Chilli Powder,2.35,9,6,2.12,500,f,500
168,Cooking Essentials,Popular Essentials Kabuli Chana Regular,0.85,9,6,0.77,500,f,500
169,Cooking Essentials,Pillsbury Chakki Fresh Atta,0.52,0,4,0.52,1000,f,1
170,Cooking Essentials,Popular Essentials Saunf/Fennel Seeds,0.45,2,6,0.44,100,f,100
171,Cooking Essentials,Popular Essentials Bansi Sooji,0.35,2,3,0.34,500,f,500
172,Cooking Essentials,Happilo Premium International Queen Kalmi Dates,2.45,29,6,1.72,200,f,200
173,Cooking Essentials,Tata Sampann Unpolished Urad Whole,1.01,6,4,0.94,500,f,500
174,Cooking Essentials,Popular Essentials Cashew Split,3.25,12,6,2.83,250,f,250
175,Cooking Essentials,Popular Essentials Chana Dal (Un-Polished),0.6,10,6,0.54,500,f,500
176,Cooking Essentials,Tata Sampann Unpolished Rajma (Chitra),1.34,6,6,1.25,500,f,500
177,Cooking Essentials,Everest Garam Masala,0.42,2,2,0.41,50,f,50
178,Cooking Essentials,Everest Kitchen King Masala,0.7,14,2,0.6,100,f,100
179,Cooking Essentials,24 Mantra Organic Cumin,0.7,7,2,0.65,100,f,100
180,Cooking Essentials,Nestle Milkmaid,1.32,3,6,1.28,400,f,400
181,Cooking Essentials,Popular Essentials Sona Masouri Steam Rice,0.65,9,6,0.59,1000,f,1
182,Cooking Essentials,24 Mantra Organic Tur Dal,2.6,20,6,2.08,1000,f,1
183,Cooking Essentials,Gits Gulab Jamun Instant Dessert Mix,0.99,10,6,0.89,200,f,200
184,Cooking Essentials,Popular Essentials Black Masoor Whole (Un-Polished),0.65,10,3,0.58,500,f,500
185,Cooking Essentials,24 Mantra Organic Peanuts,1.35,7,1,1.25,500,f,500
186,Cooking Essentials,Everest Hingraj Powder,0.9,10,2,0.81,50,f,50
187,Cooking Essentials,Everest Black Pepper Powder,1.35,14,6,1.15,100,f,100
188,Cooking Essentials,Tata Sampann Masoor Dal Stand,1.5,10,4,1.34,1000,f,1
189,Cooking Essentials,24 Mantra Organic Besan,0.95,7,5,0.88,500,f,500
190,Cooking Essentials,Quaker Oats,1.99,7,6,1.84,1000,f,1
191,Cooking Essentials,Saffola Gold Refined Cooking Oil (Jar),4.85,7,6,4.49,2000,f,2
192,Cooking Essentials,Nestle Everyday Dairy Whitener,2.1,0,4,2.1,400,f,400
193,Cooking Essentials,24 Mantra Organic Red Poha,0.75,8,1,0.69,500,f,500
194,Cooking Essentials,Everest Powder - Tea Masala,0.98,9,5,0.89,100,f,100
195,Cooking Essentials,Tata Sampann Urad Dal Split,0.94,4,6,0.9,500,f,500
196,Cooking Essentials,Popular Essentials Idli Sooji ,0.3,6,6,0.28,500,f,500
197,Cooking Essentials,Popular Essentials Dessicated Coconut,0.95,9,6,0.86,200,f,200
198,Cooking Essentials,Sunfeast Yippee! Mood Masala Noodles,0.6,28,3,0.43,260,f,260
199,Cooking Essentials,Chef's Basket Durum Wheat Elbow Pasta,1.6,50,6,0.8,500,f,500
200,Cooking Essentials,MTR Breakfast Khatta Meetha Poha Mix,0.25,20,6,0.2,60,f,60
201,Cooking Essentials,Satyam Khobra,1.13,10,5,1.01,200,f,200
202,Cooking Essentials,Betty Crocker Complete Pancake Mix Original,1.1,4,6,1.05,250,f,500
203,Cooking Essentials,Borges Durum Wheat Fusilli Pasta ,2.5,0,3,2.5,500,f,500
204,Cooking Essentials,24 Mantra Organic Green Moong Dal - Split,1.35,0,2,1.35,500,f,500
205,Cooking Essentials,Weikfield Vanilla Flavoured Custard Powder,0.37,0,6,0.37,100,f,100
206,Cooking Essentials,Tata Sampann Moong Dal Split,1.8,1,5,1.78,1000,f,200
207,Cooking Essentials,Tata Sampann Kala Chana,0.64,0,5,0.64,500,f,500
208,Cooking Essentials,Saffola Soya Chunks Mealmaker,0.5,0,2,0.5,200,f,200
209,Cooking Essentials,24 Mantra Bura Sugar (Demerara),0.8,10,6,0.72,500,f,500
210,Cooking Essentials,Popular Essentials Green Cardamom (Elaichi),2,1,6,1.98,50,f,50
211,Cooking Essentials,Hershey's Syrup Delicious Strawberry,0.95,0,1,0.95,200,f,200
212,Cooking Essentials,Popular Essentials Anjeer,1.9,11,4,1.69,100,f,100
213,Cooking Essentials,Popular Essentials Mustard Seeds Rai Small,0.2,0,2,0.2,100,f,100
214,Cooking Essentials,Weikfield Baking Powder,0.33,3,6,0.32,100,f,100
215,Cooking Essentials,Dabur Honey Squeezy,1.85,9,6,1.67,225,f,225
216,Cooking Essentials,Tata Sampann High Protein Kali Urad,0.91,14,6,0.78,500,f,500
217,Cooking Essentials,Everest Kitchen King Masala,0.37,2,6,0.36,50,f,50
218,Cooking Essentials,Chef's Basket Durum Wheat Fusilli Pasta,1.6,50,6,0.8,500,f,500
219,Cooking Essentials,TilSona Til Oil,1.8,10,2,1.62,500,f,500
220,Cooking Essentials,Top Ramen Chicken Noodles,0.6,10,1,0.54,280,f,280
221,Cooking Essentials,Everest Chaat Masala,0.35,2,1,0.34,50,f,50
222,Cooking Essentials,Keya Wonder Red Hot Chilli Flakes,0.89,10,2,0.8,40,f,40
223,Cooking Essentials,Popular Essentials White Peas (Un-Polished),0.8,10,5,0.72,500,f,500
224,Cooking Essentials,Ching’s Secret Chowmein Hakka Noodles Masala ,0.44,0,2,0.44,60,f,60
225,Cooking Essentials,Dhara Filtered Groundnut Oil (Jar),10.5,1,6,10.35,5000,f,5
226,Cooking Essentials,Pillsbury Choco Chip Pancake Mix,0.99,5,6,0.94,165,f,165
227,Cooking Essentials,Hershey's Caramel Syrup,2.3,0,1,2.3,623,f,623
228,Cooking Essentials,Pillsbury Multi Grain Atta,0.6,6,3,0.56,1000,f,1
229,Cooking Essentials,McCain New Mini Samosa with Cheese Corn Style Filling,1.2,1,2,1.18,240,f,240
230,Cooking Essentials,Satyam Puffed Rice Kurmura (A),0.43,0,6,0.43,200,f,200
231,Cooking Essentials,MTR 3 Min Poha,0.25,0,6,0.25,60,f,60
232,Cooking Essentials,Ching's Manchurian Instant Noodles,0.15,0,5,0.15,60,f,60
233,Cooking Essentials,Everest Pav Bhaji Masala,0.7,0,2,0.7,100,f,100
234,Cooking Essentials,Hershey's Chocolate Flavour Syrup,2.2,6,6,2.05,623,f,680
235,Cooking Essentials,Popular Essentials Dhania (Coriander Seeds),0.55,16,4,0.46,200,f,200
236,Cooking Essentials,24 Mantra Red Chilly Whole,0.7,7,1,0.65,100,f,100
237,Cooking Essentials,Dabur Honey - World's No.1,1.2,0,6,1.2,250,f,250
238,Cooking Essentials,24 Mantra Organic Puffed Rice,0.4,2,6,0.39,200,f,200
239,Cooking Essentials,24 Mantra Organic Wheat Daliya ,0.48,2,2,0.47,500,f,500
240,Cooking Essentials,24 Mantra Organic Ragi Flour,0.65,20,4,0.52,500,f,500
241,Cooking Essentials,Popular Essentials Cinnamon Whole (Dalchini),0.35,5,6,0.33,25,f,25
242,Cooking Essentials,Sundrop Super Lite Advanced - Sunflower Oil,2.15,0,4,2.15,1000,f,1
243,Cooking Essentials,Pillsbury Atta/Godihittu - Chakki Fresh,1.02,7,4,0.94,2000,f,2
244,Cooking Essentials,Popular Essentials Green Moong Chilka/Chilka (Un-Polished),0.85,7,5,0.79,500,f,500
245,Cooking Essentials,Popular Essentials HMT Kolam Steam,0.75,0,3,0.75,1000,f,1
246,Cooking Essentials,Popular Essentials Black Urad Split,0.8,10,4,0.72,500,f,500
247,Cooking Essentials,Keya Oregano,1.09,10,5,0.98,9,f,9
248,Cooking Essentials,Popular Essentials Pink Rajma,1,10,6,0.9,500,f,500
249,Cooking Essentials,Everest Chicken Masala,0.74,2,6,0.72,100,f,100
250,Cooking Essentials,Popular Essentials HMT Kolam Steam,3.7,10,6,3.33,5000,f,5
251,Cooking Essentials,Everest Shahi Paneer Masala,0.42,4,5,0.4,50,f,50
252,Cooking Essentials,Godrej Yummiez Chicken Nuggets,3.25,9,1,2.93,500,f,500
253,Cooking Essentials,Flying Bird Vanilla Essence,0.35,2,6,0.34,20,f,20
254,Cooking Essentials,Everest Sabji Masala,0.3,3,6,0.29,50,f,50
255,Cooking Essentials,Popular Essentials Californian Almond,6.95,32,6,4.7,500,f,500
256,Cooking Essentials,Cornitos Cornitos Taco Shells - 4 Inches,1.1,20,6,0.88,80,f,80
257,Cooking Essentials,Everest Rajma Masala,0.33,3,5,0.32,50,f,50
258,Cooking Essentials,Popular Essentials White Til,0.4,5,1,0.38,100,f,100
259,Cooking Essentials,Amul Dark Compound Chocolate Slab,1.25,2,6,1.22,500,f,500
260,Cooking Essentials,Mothers Recipe Papad Chana Masala,0.79,10,6,0.71,200,f,200
261,Cooking Essentials,Ching's Schezwan Masala Instant Noodles,0.6,0,1,0.6,240,f,240
262,Cooking Essentials,Amul Milk Compound Chocolate Slab,1.1,2,6,1.07,500,f,500
263,Cooking Essentials,Eastern Chicken Masala,0.7,7,3,0.65,100,f,100
264,Cooking Essentials,Popular Essentials Methi Seeds,0.25,0,5,0.25,100,f,100
265,Cooking Essentials,Saffola Yummy Masala Noodles ,0.2,0,2,0.2,46,f,46
266,Cooking Essentials,Cadbury Hot Chocolate,1.75,5,6,1.66,200,f,200
267,Cooking Essentials,Ching's Chicken Chilli Masala,0.1,0,6,0.1,20,f,20
268,Cooking Essentials,Dabur Keora water - Authentic flavour for Biryani's and Desserts,0.62,6,6,0.58,250,f,250
269,Cooking Essentials,Popular Essentials Black Cardamom/Elaichi ,1,10,6,0.9,50,f,50
270,Cooking Essentials,Popular Essentials Idli Rice,0.6,10,4,0.54,1000,f,1
271,Cooking Essentials,Everest Chole Masala,0.33,3,1,0.32,50,f,50
272,Cooking Essentials,Dabur Hommade Tamarind Paste,0.48,6,6,0.45,200,f,200
273,Cooking Essentials,"Maggi Magic Cubes, Vegetarian Masala (Free 2 Cubes Inside)",0.35,2,6,0.34,48,f,48
274,Cooking Essentials,Popular Essentials Cooking Soda,0.3,10,6,0.27,200,f,200
275,Cooking Essentials,RRO Primio Refined Groundnut Oil Pet Bottle,2.55,6,2,2.39,1000,f,1
276,Cooking Essentials,Everest Pani Puri Masala,0.31,3,6,0.3,50,f,50
277,Cooking Essentials,Nissin Cup Noodles Tangy Tomato,0.5,10,2,0.45,70,f,70
278,Cooking Essentials,Ching's Veg Manchurian Masala,0.1,0,2,0.1,20,f,20
279,Cooking Essentials,Ceres Foods Fish Mustard Instant Liquid Masala,2.2,50,6,1.1,200,f,200
280,Cooking Essentials,Everest Garam Masala,1.58,10,6,1.42,200,f,200
281,Cooking Essentials,24 Mantra Organic Jowar Flour,0.7,7,6,0.65,500,f,500
282,Cooking Essentials,Maggi Coconut Milkpowder,1,0,6,1,100,f,100
283,Cooking Essentials,On1y Pepper Grinder,1.59,9,1,1.44,50,f,50
284,Cooking Essentials,Popular Essentials Rice Flour,0.6,0,3,0.6,1000,f,1
285,Cooking Essentials,Sunfeast Yippee! Pasta Treat - Sour Cream Onion,0.28,10,1,0.25,65,f,65
286,Cooking Essentials,24 Mantra Organic Brown Sona Masoori Rice,0.95,0,6,0.95,1000,f,1
287,Cooking Essentials,Happilo Premium Afghani Anjeer,3.65,29,2,2.56,200,f,200
288,Cooking Essentials,Popular Essentials Chiroti Sooji,0.35,2,6,0.34,500,f,500
289,Cooking Essentials,RRO Til Dil Premium Til Oil Bottle,3.3,10,5,2.94,1000,f,1
290,Cooking Essentials,Popular Essentials Red Rajma,0.9,10,6,0.81,500,f,500
291,Cooking Essentials,Cornitos Peanut - Premium Salted ,1.2,10,6,1.08,150,f,150
292,Cooking Essentials,Popular Essentials Black Pepper,1,10,5,0.9,100,f,100
293,Cooking Essentials,24 Mantra Organic Tur Dal - Split,1.3,7,6,1.2,500,f,500
294,Cooking Essentials,Sugarfree Gold Low Calorie Sweetner,0.65,6,3,0.61,110,f,100
295,Cooking Essentials,Ching's Secret Paneer Chilli Masala,0.1,0,2,0.1,20,f,20
296,Cooking Essentials,Dabur Honey ,2.2,7,3,2.04,500,f,500
297,Cooking Essentials,Sunfeast Yippee! Pasta Treat - Sour Cream Onion,0.28,17,3,0.23,65,f,65
298,Cooking Essentials,Everest Tea Masala,0.55,9,2,0.5,50,f,50
299,Cooking Essentials,Ching's Paneer Chilli Masala,0.44,0,4,0.44,60,f,60
300,Cooking Essentials,Sunfeast YiPPee! Magic Masala Noodles,0.7,10,3,0.63,405,f,405
301,Cooking Essentials,Everest Meat Masala Powder,0.74,9,3,0.67,100,f,100
302,Cooking Essentials,Pillsbury Atta With Multigrains Wheat Grains,2.95,16,6,2.45,5000,f,5
303,Cooking Essentials,Mother's Recipe Tamarind Paste,0.5,2,6,0.49,200,f,200
304,Cooking Essentials,Quaker Oats Breakfast Cereals - With Flavour Mix Nutritious Rich Source Of Energy,0.49,8,6,0.45,200,f,200
305,Cooking Essentials,Popular Essentials Cloves (Lavang),0.75,17,6,0.62,50,f,50
306,Cooking Essentials,Sunfeast Yippee! Power Up Atta Noodles,0.96,15,6,0.81,280,f,280
307,Cooking Essentials,Suhana Paneer Tikka Masala Mix,0.4,5,6,0.38,50,f,50
308,Cooking Essentials,24 Mantra Turmeric Powder,0.35,2,6,0.34,100,f,100
309,Cooking Essentials,24 Mantra Super Grain Quinoa,1.9,0,4,1.9,500,f,500
310,Cooking Essentials,Everest Powder - Egg Curry Masala,0.4,2,6,0.39,50,f,50
311,Cooking Essentials,Popular Essentials Pe Shah Jeera ,0.6,15,6,0.51,50,f,50
312,Cooking Essentials,24 Mantra Organic Sattu Atta,0.95,0,6,0.95,500,f,500
313,Cooking Essentials,Smith & Jones Pasta Masala,0.46,0,6,0.46,54,f,54
314,Cooking Essentials,Weikfield Vanilla Custard Powder,1.42,9,3,1.28,500,f,500
315,Cooking Essentials,Sugarfree Natura Low Calorie Sweetner ,3,10,3,2.7,42,f,42
316,Cooking Essentials,Pillsbury Vanilla Custard Powder,0.37,2,6,0.36,100,f,100
317,Cooking Essentials,24 Mantra Organic Rajma,1.45,0,6,1.45,500,f,500
318,Cooking Essentials,Popular Essentials Broken Wheat/Daliya,0.35,2,6,0.34,500,f,500
319,Cooking Essentials,Zorabian Chicken Smoked Ham,2.05,5,1,1.94,250,f,250
320,Cooking Essentials,Smith & Jones Peri Peri Masala,0.99,0,6,0.99,75,f,75
321,Cooking Essentials,Saffola Veggie Twist Masala Oats,1.95,12,2,1.71,500,f,500
322,Cooking Essentials,Popular Essentials Urad Dal Split (Un-Polished),0.85,9,5,0.77,500,f,500
323,Cooking Essentials,Weikfield Baking Powder,0.22,0,6,0.22,50,f,50
324,Cooking Essentials,Popular Essentials Bajra Whole,0.65,13,6,0.56,1000,f,1
325,Cooking Essentials,Weikfield Veg Jelly Crystals - Strawberry,0.45,2,6,0.44,90,f,90
326,Cooking Essentials,Weikfield Veg Jelly Crystals - Raspberry,0.45,2,6,0.44,90,f,90
327,Cooking Essentials,Popular Essentials Masoor Dal Split (Un-Polished),0.7,10,4,0.63,500,f,500
328,Cooking Essentials,Popular Essentials Ajwain Whole,0.5,12,2,0.44,100,f,100
329,Cooking Essentials,Popular Essentials Pista Salted (With Shell),4.7,21,5,3.71,250,f,250
330,Cooking Essentials,The Bake Shop Bread Crumbs,0.5,6,3,0.47,400,f,400
331,Cooking Essentials,Popular Essentials Horse Gram,0.4,10,4,0.36,500,f,500
332,Cooking Essentials,Hershey's Chocolate Syrup,0.95,0,4,0.95,200,f,200
333,Cooking Essentials,Godrej Yummiez Chilli Chicken Sausages ,1.6,10,3,1.44,250,f,250
334,Cooking Essentials,Everest Kasuri Methi,0.25,0,6,0.25,25,f,25
335,Cooking Essentials,Satyam Makhana,2.08,0,6,2.08,100,f,100
336,Cooking Essentials,Everest Tandoori Chicken Masala,0.39,2,5,0.38,50,f,50
337,Cooking Essentials,Weikfield Falooda Mix - Kesar Pista,0.49,2,3,0.48,200,f,200
338,Cooking Essentials,Weikfield Cocoa Powder,0.7,7,6,0.65,50,f,50
339,Cooking Essentials,Pantai Coconut Cream,1.5,4,4,1.43,400,f,400
340,Cooking Essentials,Popular Essentials Coriander Seeds,0.15,0,5,0.15,50,f,50
341,Cooking Essentials,Ching's Singapore Curry Instant Noodles,0.6,0,4,0.6,240,f,240
342,Cooking Essentials,Eastern Fish Masala,0.48,2,5,0.47,100,f,100
343,Cooking Essentials,Pillsbury Atta/Godihittu - Chakki Fresh,2.75,0,6,2.75,5000,f,5
344,Cooking Essentials,"Oleev Smart Oil Fortified with VIT A, D, E & K (Pouch)",2.15,9,4,1.94,1000,f,1
345,Cooking Essentials,Everest Dry Ginger Powder,0.75,9,4,0.68,100,f,100
346,Cooking Essentials,Pillsbury Cooker Cake Mix - Choco,1,11,6,0.89,159,f,159
347,Cooking Essentials,Hersheys Chocolate Almond Syrup,2,0,2,2,450,f,450
